"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","20.106.86.13","10.35.99.145","TCP","66","443  >  52033 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1440 WS=256 SACK_PERM"
"2","0.000190600","10.35.99.145","20.106.86.13","TCP","54","52033  >  443 [ACK] Seq=1 Ack=1 Win=255 Len=0"
"3","0.008025300","10.35.99.145","20.106.86.13","TLSv1.2","268","Client Hello (SNI=settings-win.data.microsoft.com)"
"4","0.251012500","10.35.99.145","150.171.22.11","TCP","66","52032  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"5","0.410286500","20.106.86.13","10.35.99.145","TCP","54","443  >  52033 [ACK] Seq=1 Ack=215 Win=65280 Len=0"
"6","0.410286500","20.195.84.7","10.35.99.145","TCP","1514","443  >  55580 [ACK] Seq=1 Ack=1 Win=651 Len=1460 [TCP PDU reassembled in 7]"
"7","0.410286500","20.195.84.7","10.35.99.145","TLSv1.2","519","Application Data"
"8","0.410286500","150.171.22.11","10.35.99.145","TCP","66","443  >  52032 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1440 WS=256 SACK_PERM"
"9","0.410572900","10.35.99.145","20.195.84.7","TCP","54","55580  >  443 [ACK] Seq=1 Ack=1926 Win=255 Len=0"
"10","0.410671400","10.35.99.145","150.171.22.11","TCP","54","52032  >  443 [ACK] Seq=1 Ack=1 Win=65280 Len=0"
"11","0.411592400","10.35.99.145","20.195.84.7","TLSv1.2","487","Application Data"
"12","0.420151800","10.35.99.145","150.171.22.11","TLSv1.3","502","Client Hello (SNI=api.onedrive.com)"
"13","0.451920000","10.35.99.145","20.195.84.7","TLSv1.2","487","Application Data"
"14","0.466610800","10.35.99.145","180.149.62.34","TCP","55","52182  >  443 [ACK] Seq=1 Ack=1 Win=254 Len=1"
"15","0.615189200","20.106.86.13","10.35.99.145","TCP","2974","443  >  52033 [ACK] Seq=1 Ack=215 Win=12583424 Len=2920 [TCP PDU reassembled in 17]"
"16","0.615189200","20.195.84.7","10.35.99.145","TLSv1.2","158","Application Data"
"17","0.615189200","20.106.86.13","10.35.99.145","TLSv1.2","892","Server Hello, Certificate, Server Key Exchange, Server Hello Done"
"18","0.615189200","20.195.84.7","10.35.99.145","TLSv1.2","464","Application Data"
"19","0.615189200","150.171.22.11","10.35.99.145","TCP","54","443  >  52032 [ACK] Seq=1 Ack=449 Win=65280 Len=0"
"20","0.615455000","10.35.99.145","20.106.86.13","TCP","54","52033  >  443 [ACK] Seq=215 Ack=3759 Win=255 Len=0"
"21","0.615545900","10.35.99.145","20.195.84.7","TCP","54","55574  >  443 [ACK] Seq=1 Ack=515 Win=255 Len=0"
"22","0.619960500","10.35.99.145","20.195.84.7","TLSv1.2","834","Application Data"
"23","0.670593700","10.35.99.145","20.106.86.13","TLSv1.2","212","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"24","0.692300900","180.149.62.34","10.35.99.145","TCP","54","443  >  52182 [ACK] Seq=1 Ack=2 Win=53 Len=0"
"25","0.692300900","20.195.84.7","10.35.99.145","TLSv1.2","87","Application Data"
"26","0.692300900","150.171.22.11","10.35.99.145","TLSv1.3","246","Server Hello"
"27","0.692300900","150.171.22.11","10.35.99.145","TLSv1.3","1514","Change Cipher Spec"
"28","0.692300900","150.171.22.11","10.35.99.145","TCP","1514","443  >  52032 [ACK] Seq=1653 Ack=449 Win=65536 Len=1460 [TCP PDU reassembled in 30]"
"29","0.692300900","150.171.22.11","10.35.99.145","TCP","1514","443  >  52032 [ACK] Seq=3113 Ack=449 Win=65536 Len=1460 [TCP PDU reassembled in 30]"
"30","0.692300900","150.171.22.11","10.35.99.145","TLSv1.3","279","Application Data"
"31","0.692652000","10.35.99.145","150.171.22.11","TCP","54","52032  >  443 [ACK] Seq=449 Ack=4798 Win=65280 Len=0"
